,Symbols,Avg_50,Avg_200,Week_52_High,Week_52_Low,Vol_Avg_10_Day,Vol_Avg_3_Months,Held_By_Institusion,Perf_Week,Perf_Month,Perf_Quarter,Perf_Half_Year,Perf_Year,Analyst_Mean_Target_Price,Current_Stock_Price,Last_Q_Net,Prev_Q_Net,Sector
3323,NBEV,1.3062,1.8933,4.5500,1.0000,969.92k,1.37M,24.57%,-6.96%,-10.83%,-22.46%,-52.02%,-60.95%,4.38,1.07,-2.70,17.37,Consumer Defensive
3324,NHICU,9.99,9.99,10.10,9.64,3.42k,87.11k,,-0.50%,-0.20%,-,-,-,-,9.98,,,Financial Services
3325,NEWA,3.5155,3.4936,5.5300,3.0000,,352.69k,1.12%,,,,,,,,,,
3326,NBSTW,,,0.5301,0.5001,,,,,,,,,,,,,
3327,NCAC,9.94,9.94,10.00,9.88,5.51k,4.64k,,,,,,,,,,,Financial Services
3328,NEGG,14.36,14.93,79.07,4.10,570.08k,1.38M,0.31%,-12.37%,-51.35%,-27.42%,-48.09%,133.95%,-,10.6,8.45,,Consumer Cyclical
3329,NUWE,1.6410,3.5425,12.3800,1.0700,231.73k,359.99k,26.22%,-13.08%,-30.25%,-46.70%,-73.10%,-83.53%,8.67,1.13,-5.27,-4.73,Healthcare
3330,NMRK,16.14,13.39,18.48,6.56,1.36M,1.13M,64.70%,11.29%,10.76%,26.15%,52.62%,150.41%,19.20,18.64,128.55,439.74,Real Estate
3331,NEWP,3.2850,4.0392,7.3000,2.3800,246.09k,156.94k,14.64%,-0.34%,-2.96%,-3.28%,-39.18%,-49.62%,-,2.92,,,Basic Materials
3332,NWSA,22.63,24.40,27.97,17.75,2.69M,3.16M,101.45%,4.01%,3.44%,-5.21%,-12.42%,25.25%,31.91,22.69,,,Communication Services
3333,NEWTI,,,,,,,,,,,,,,,,,
3334,NEWTL,25.29,25.43,26.88,25.01,1.27k,2.89k,,,,,,,,,,,
3335,NEXI,8.8100,14.1782,28.0000,4.0200,89.79k,49.62k,46.94%,-17.96%,-47.17%,-75.26%,-74.82%,-,30.33,4.24,,,Healthcare
3336,NEXM,,,,,,,,,,,,,,,,,
3337,NXST,155.95,150.23,171.16,106.67,386.48k,324.71k,100.01%,0.05%,-4.94%,-4.26%,0.09%,37.89%,187.67,150.94,169.56,200.10,Communication Services
3338,NEXT,3.3990,3.0528,6.1300,1.6500,363.51k,426.37k,81.80%,0.34%,-11.52%,4.66%,-29.30%,40.38%,4.64,3.03,1.22,-11.58,Energy
3339,NGCA,10.02,9.96,10.80,8.98,857.28k,624.19k,42.17%,-7.31%,-10.02%,-6.42%,-10.11%,-,16.00,9.25,,,Financial Services
3340,NN,8.83,9.72,15.32,6.11,271.55k,304.42k,77.61%,10.81%,7.21%,-11.77%,-11.24%,-12.12%,16.00,9.25,-32.42,-113.92,Communication Services
3341,GDEV,8.18,9.21,13.25,6.40,18.89k,55.88k,64.63%,7.05%,6.23%,26.32%,-15.74%,-17.41%,11.57,8.32,,,Communication Services
3342,NGAS,,,,,,,,,,,,,,,,,
3343,NCBS,75.87,76.09,88.67,66.26,124.03k,63.17k,41.66%,6.46%,21.11%,14.44%,22.33%,27.99%,87.60,85.86,10.78,10.33,Financial Services
3344,NKLA,11.25,12.37,30.40,8.86,20.94M,12.47M,20.78%,4.88%,-3.42%,-6.88%,-45.29%,-38.75%,17.44,10.24,-267.57,-143.23,Consumer Cyclical
3345,NINE,1.5184,2.0938,4.0350,0.7940,322.77k,255.84k,62.43%,-14.87%,-38.35%,-52.45%,-69.60%,-69.39%,2.75,1.0,-16.05,-24.53,Energy
3346,NMSS,,,,,,,,,,,,,,,,,
3347,NOBH,32.85,33.16,53.00,24.00,20,235,16.26%,,,,,,,,,,Consumer Cyclical
3348,NRAC,9.74,9.71,10.00,9.60,20.62k,19.16k,67.30%,-0.10%,-0.41%,0.62%,-0.41%,-,-,9.72,1.78,4.31,Financial Services
3349,NDLS,11.13,11.72,13.55,7.42,346.61k,276.65k,87.30%,1.51%,-9.60%,-21.04%,-24.52%,20.00%,15.33,9.58,4.70,5.68,Consumer Cyclical
3350,NTK,,,,,,,,,,,,,,,,,
3351,NAAC,9.76,9.75,9.99,9.50,79.1k,64.79k,67.58%,-0.41%,0.31%,0.93%,1.03%,-,-,9.85,6.58,-11.80,Financial Services
3352,NCEB,,,,,,,,,,,,,,,,,
3353,NOVB,,,,,,,,,,,,,,,,,
3354,NECB,11.00,11.30,12.69,10.02,91.06k,67.75k,13.00%,1.45%,4.28%,3.31%,-5.43%,17.01%,12.50,11.22,,,Financial Services
3355,NWE,56.49,61.53,70.80,53.16,507.79k,515k,94.21%,4.75%,1.64%,-2.83%,-5.18%,0.40%,63.57,57.31,35.20,37.24,Utilities
3356,NREB,,,,,,,,,,,,,,,,,
3357,NLIT,10.04,10.01,11.13,9.76,14.57k,14.43k,7.41%,0.30%,-0.69%,-,-,-,-,10.05,,,Financial Services
3358,NFBK,17.25,16.69,18.41,11.98,364.3k,173.18k,57.94%,0.99%,-3.49%,-6.04%,-0.49%,33.99%,18.75,16.29,48.49,49.31,Financial Services
3359,NRIM,44.22,43.00,48.19,31.73,27.4k,14.99k,72.21%,2.24%,3.81%,1.71%,2.71%,31.04%,49.00,44.15,6.27,6.28,Financial Services
3360,NWBI,13.94,13.77,15.48,12.37,904.89k,591.06k,62.03%,3.13%,6.31%,5.67%,3.81%,13.19%,13.70,14.12,,,Financial Services
3361,NWPX,28.10,28.78,38.08,23.11,63.84k,57.37k,86.30%,7.96%,5.75%,28.26%,11.33%,14.91%,40.00,31.5,,,Industrials
3362,NCLH,23.30,26.60,34.49,17.78,21.95M,19.7M,49.91%,-2.75%,6.73%,-21.07%,-26.62%,-15.01%,30.85,22.02,-845.88,-717.79,Consumer Cyclical
3363,NVFY,2.0968,2.6193,7.4900,1.7700,35.18k,113.1k,8.57%,0.27%,-5.81%,-17.11%,-40.61%,-29.76%,-,1.9,,,Consumer Cyclical
3364,NOVVU,10.35,10.27,11.57,9.85,150,1.4k,28.35%,,,,,,,,,,Financial Services
3365,NOVAD,,,,,,,,,,,,,,,,,
3366,NOVT,169.03,147.79,184.44,116.55,143.71k,125.92k,97.53%,4.96%,7.81%,12.78%,30.14%,48.94%,169.33,176.58,13.60,11.66,Technology
3367,NVLD,,,,,,,,,,,,,,,,,
3368,NVOS,1.5280,2.1178,14.9800,1.2000,37.47k,70.72k,2.28%,2.90%,9.23%,-22.83%,-43.43%,-63.59%,-,1.45,-1.94,-0.41,Healthcare
3369,NVMM,,,,,,,,,,,,,,,,,
3370,NSDB,,,,,,,,,,,,,,,,,
3371,NTLI,,,,,,,,,,,,,,,,,
3372,NUAN,55.14,53.67,55.55,39.90,5.81M,4.18M,107.09%,0.22%,-0.02%,0.58%,1.62%,26.71%,57.00,55.35,-11.72,-26.27,Technology
3373,NMRX,,,,,,,,,,,,,,,,,
3374,NRIX,30.59,30.30,51.46,21.53,297.81k,320.24k,85.61%,3.31%,4.81%,2.68%,14.10%,-19.22%,51.00,31.14,-28.84,-26.38,Healthcare
3375,NTRI,,,,,,,,,,,,,,,,,
3376,NUVA,53.47,61.76,72.61,45.45,630.15k,819.62k,105.91%,4.54%,7.11%,-15.23%,-22.23%,-3.85%,64.53,53.39,-21.64,1.80,Healthcare
3377,QQQX,29.96,29.06,31.00,25.30,98.87k,97.78k,22.06%,4.60%,1.16%,7.13%,3.78%,17.81%,-,30.39,,,Financial Services
3378,NWIR,,,,,,,,,,,,,,,,,
3379,NYMX,1.5100,1.7836,3.5000,0.9500,105.94k,80.19k,2.51%,-10.75%,-35.31%,-52.04%,-38.99%,-61.90%,-,0.98,,,Healthcare
3380,NSSC,47.91,39.27,52.00,25.27,59.33k,61.8k,73.70%,4.61%,9.16%,15.22%,38.60%,92.77%,54.40,49.74,7.75,5.03,Industrials
3381,ZWZZT,,,15.00,15.00,,,,,,,,,,,,,
3382,NCSM,32.56,28.55,47.97,21.64,5.11k,4.8k,77.06%,-2.30%,-5.31%,10.23%,9.95%,49.39%,45.55,31.21,2.80,-5.79,Energy
3383,NODK,19.40,19.23,21.21,16.17,9.69k,7.35k,26.05%,-1.11%,-1.42%,5.62%,-1.16%,11.85%,-,18.9,-4.74,-2.64,Financial Services
3384,NMIH,21.86,22.74,26.82,19.43,995.62k,514.22k,98.30%,5.38%,8.64%,-4.90%,-3.20%,-2.55%,30.85,21.92,,,Financial Services
3385,NRXP,6.8532,16.4673,64.2000,4.0700,1.87M,4.46M,3.62%,-9.96%,-38.64%,-46.84%,-57.23%,-84.45%,-,4.93,-20.77,-16.01,Healthcare
3386,NVEE,117.86,100.76,137.99,75.86,106.25k,136.39k,63.95%,8.46%,7.84%,38.28%,45.75%,78.29%,132.71,137.75,12.57,13.64,Industrials
3387,NVEC,69.42,70.25,81.42,56.75,33.48k,18.91k,69.19%,5.89%,-1.79%,7.26%,-8.17%,18.01%,-,67.0,3.65,3.58,Technology
3388,NXPI,217.64,206.20,239.91,156.02,1.91M,2.33M,92.73%,2.74%,2.94%,15.98%,12.06%,47.85%,240.36,231.8,519.00,397.00,Technology
3389,NBRV,0.9132,1.2278,3.4900,0.5190,995.2k,771.05k,6.88%,-19.40%,-36.33%,-54.76%,-60.12%,-77.84%,2.67,0.61,-10.65,-11.75,Healthcare
3390,NNOX,20.52,26.83,94.81,13.90,794.22k,867.04k,14.82%,-18.26%,-28.11%,-32.89%,-52.51%,-68.28%,44.25,15.57,-13.47,-13.58,Healthcare
3391,NAOV,1.2664,1.4152,4.1900,0.6800,479.56k,1.9M,4.47%,-5.61%,-12.17%,-48.99%,18.67%,20.11%,-,1.03,-6.67,-0.22,Healthcare
3392,NNSY,,,,,,,,,,,,,,,,,
3393,NAPS,,,,,,,,,,,,,,,,,
3394,NDAQ,205.83,183.83,214.96,130.70,620.4k,751.25k,75.32%,3.82%,0.43%,8.24%,19.44%,62.59%,224.86,209.73,,,Financial Services
3395,NSDA,,,,,,,,,,,,,,,,,
3396,NTRA,102.28,106.62,129.09,82.63,634.09k,666.29k,98.24%,-5.21%,-1.26%,-16.33%,-20.68%,-9.40%,150.89,94.33,-151.27,-116.03,Healthcare
3397,NATH,61.11,64.79,78.89,53.96,8.35k,4.56k,48.13%,1.86%,-4.57%,-2.24%,-16.29%,8.74%,-,58.2,3.54,5.76,Consumer Cyclical
3398,NKSH,37.10,36.20,39.99,30.55,7.76k,6.53k,24.97%,0.30%,-3.20%,-2.12%,2.19%,14.48%,41.00,36.03,6.14,6.21,Financial Services
3399,NCMI,3.1042,3.7708,6.1100,2.4100,554.29k,652.4k,70.96%,-4.66%,-9.52%,-23.12%,-47.53%,-30.73%,5.38,2.78,,,Communication Services
3400,NCOM,,,,,,,,,,,,,,,,,
3401,NESR,10.91,12.27,15.95,8.56,270.03k,235.42k,57.10%,6.71%,-5.63%,-23.86%,-34.18%,-2.49%,17.50,9.42,1.93,7.82,Energy
3402,NHHC,,,,,,,,,,,,,,,,,
3403,NRCI,,,,,,,,,,,,,,,,,
3404,NRC,43.69,47.17,55.67,39.27,54.49k,38.92k,44.61%,5.24%,3.74%,-2.34%,-8.13%,-3.74%,-,42.22,,,Healthcare
3405,NWLI,219.10,225.57,260.00,180.00,5.03k,5.59k,85.92%,-0.23%,-0.01%,-1.00%,-4.63%,3.64%,-,212.1,39.84,49.90,Financial Services
3406,MBLA,,,,,,,,,,,,,,,,,
3407,NAII,13.09,14.93,19.93,10.34,16.27k,21.37k,28.05%,1.04%,-1.56%,-8.13%,-24.84%,17.87%,-,12.69,3.26,2.96,Consumer Defensive
3408,NOAC,9.80,9.84,11.80,9.60,66.73k,27.27k,49.72%,0.30%,-0.62%,0.20%,0.20%,-,-,9.79,1.23,0.49,Financial Services
3409,NVSLD,,,,,,,,,,,,,,,,,
3410,NMARU,,,,,,,,,,,,,,,,,
3411,FLYR,,,,,,,,,,,,,,,,,
3412,NVTS,15.98,15.98,22.19,11.73,1.81M,1.94M,112.65%,3.06%,-15.15%,55.41%,56.35%,-,21.60,16.3,,,Technology
3413,NNDS,,,,,,,,,,,,,,,,,
3414,NKTR,13.84,16.58,26.75,10.59,5.38M,2.11M,91.90%,-7.61%,27.81%,-20.80%,-17.25%,-22.19%,25.86,14.38,-129.71,-125.52,Healthcare
3415,NGMS,34.26,44.08,73.54,24.53,170.76k,120.24k,22.79%,1.21%,-19.92%,-26.21%,-55.07%,-19.85%,56.00,28.47,1.49,2.77,Communication Services
3416,NLTX,5.93,8.48,15.89,4.60,182.91k,183.8k,62.44%,6.10%,5.67%,-27.70%,-43.45%,-63.52%,21.57,5.2,-58.16,-33.28,Healthcare
3417,NMGC,0.0271,0.0189,0.2000,0.0029,15.86k,134.64k,0.00%,,,,,,,,,,Technology
3418,NERX,,,,,,,,,,,,,,,,,
3419,NWRE,,,,,,,,,,,,,,,,,
3420,NEPT,0.4776,0.8828,3.6000,0.3500,1.18M,1.8M,27.42%,-1.73%,-29.94%,-39.42%,-68.92%,-76.24%,-,0.36,,,Healthcare
3421,NSTC,9.77,9.77,10.19,9.65,24.03k,115.39k,45.70%,0.00%,-0.51%,0.83%,-1.62%,-,-,9.74,,,Financial Services
3422,NETE,8.38,10.31,19.15,6.95,4.07M,582.47k,9.03%,,,,,,,,,,
3423,NTOP,,,,,,,,,,,,,,,,,
3424,NTWK,4.4684,4.4373,6.1200,3.7000,15.86k,35.38k,21.54%,-2.70%,-3.17%,-13.70%,-15.71%,9.07%,-,3.95,0.19,1.93,Technology
3425,NFLX,642.79,563.90,700.99,478.54,2.53M,3.54M,83.10%,0.93%,-8.03%,1.92%,15.59%,15.01%,673.36,617.07,"1,449.07","1,353.01",Communication Services
3426,NTIQ,,,,,,,,,,,,,,,,,
3427,NTRT,,,,,,,,,,,,,,,,,
3428,NTSL,,,,,,,,,,,,,,,,,
3429,NWK,,,,,,,,,,,,,,,,,
3430,NURO,7.04,7.10,38.75,2.58,157.25k,517.76k,22.46%,-12.37%,-29.65%,-51.35%,47.51%,49.70%,-,5.12,-0.69,-0.53,Healthcare
3431,NRSN,3.1264,3.1264,4.7000,2.3900,225.56k,489.28k,,,,,,,,,,,Healthcare
3432,NTII,0.0080,0.0043,0.0300,0.0000,,213,9.42%,,,,,,,,,,Healthcare
3433,NBIX,89.64,94.16,120.27,78.31,699.07k,784.34k,102.73%,-0.50%,-0.58%,-10.74%,-13.43%,-10.37%,121.18,84.14,,,Healthcare
3434,STIM,4.6724,9.6613,22.4300,3.7500,189.74k,304.68k,92.19%,-6.31%,4.00%,-35.50%,-74.03%,-62.45%,10.67,4.35,-8.15,-7.53,Healthcare
3435,NBSC,,,,,,,,,,,,,,,,,
3436,NFE,27.04,34.40,65.90,20.75,1.12M,1.01M,42.80%,-0.08%,-3.77%,-10.02%,-35.98%,-54.16%,52.64,24.44,,,Utilities
3437,NGBF,,,,,,,,,,,,,,,,,
3438,NMFCL,25.40,25.25,26.27,16.69,400,3.57k,,,,,,,,,,,
3439,NOEC,0.0001,0.0036,0.0180,0.0001,10,1,0.03%,,,,,,,,,,Basic Materials
3440,NPABU,10.08,10.08,10.50,9.97,24.86k,275.67k,,,,,,,,,,,Financial Services
3441,NYMT,4.0534,4.3465,4.9300,3.5100,4.58M,2.89M,55.38%,-2.08%,-1.31%,-13.13%,-15.66%,4.14%,4.81,3.77,51.58,53.24,Real Estate
3442,NHIC,9.80,9.80,9.89,9.55,3.8k,3.8k,,,,,,,,,,,Financial Services
3443,NBAC,,,,,,,,,,,,,,,,,
3444,NBST,9.73,9.69,9.94,9.58,5.41k,5.69k,36.63%,,,,,,,,,,Financial Services
3445,NCACU,10.11,10.11,10.20,10.01,5.17k,336.96k,,,,,,,,,,,Financial Services
3446,NWL,22.69,25.30,30.10,20.36,3.11M,2.81M,89.22%,0.98%,-3.18%,-9.46%,-21.22%,3.15%,28.00,21.66,190.00,197.00,Consumer Defensive
3447,NMRKV,,,,,,,,,,,,,,,,,
3448,NWS,22.71,23.54,26.21,17.59,632.26k,766.47k,37.55%,3.69%,4.07%,-3.39%,-6.49%,27.56%,31.91,22.98,196.00,-14.00,Communication Services
3449,NEWT,29.67,30.20,38.78,18.77,311.26k,257.3k,14.45%,1.53%,-9.67%,-0.98%,-21.88%,51.22%,27.75,27.7,,,Financial Services
3450,NEWTZ,25.74,25.85,27.67,25.05,1.18k,3.88k,,,,,,,,,,,
3451,NXGL,3.0700,3.0700,4.6600,2.6100,769.26k,769.26k,0.00%,-,-,-,-,-,-,2.73,,,Healthcare
3452,NEXMD,,,,,,,,,,,,,,,,,
3453,NXSN,,,,,,,,,,,,,,,,,
3454,NXTC,6.75,7.80,14.40,5.53,230.99k,303.37k,61.11%,3.12%,-0.67%,-12.88%,-25.90%,-43.28%,17.14,6.2,-17.93,-17.99,Healthcare
3455,NXGN,16.41,16.61,23.80,13.64,459.7k,403.8k,79.52%,0.57%,13.66%,24.88%,6.81%,-2.58%,20.00,17.89,-6.77,2.85,Healthcare
3456,NXTP,1.3144,2.0983,4.9900,0.7700,1.36M,6.81M,1.55%,-11.58%,-24.63%,-34.57%,-62.32%,-64.23%,4.75,0.9,-8.81,-0.40,Technology
3457,NVET,,,,,,,,,,,,,,,,,
3458,NISN,8.3750,11.1131,24.9400,2.9000,889.57k,300.04k,4.68%,-8.38%,-59.09%,-72.80%,-71.40%,-82.87%,-,3.1,10.39,-6.95,Financial Services
3459,NICK,11.82,11.30,12.50,8.22,3.07k,4.33k,40.75%,0.27%,-5.74%,-6.17%,1.34%,50.27%,-,11.32,1.60,1.73,Financial Services
3460,NDAC,9.78,9.77,11.11,9.64,114.15k,51.34k,58.54%,0.10%,-1.02%,0.41%,-0.10%,-,-,9.75,3.57,0.60,Financial Services
3461,NIKU,,,,,,,,,,,,,,,,,
3462,NKTX,16.19,26.61,62.71,12.46,696.68k,395.07k,80.07%,-0.74%,-2.95%,-44.51%,-53.30%,-76.96%,67.40,16.0,,,Healthcare
3463,NBL,,,,,,,,,,,,,,,,,
3464,NDSN,259.53,231.11,272.28,178.61,252.73k,166.54k,71.35%,2.37%,-2.04%,5.72%,16.99%,30.43%,292.67,255.45,142.18,124.14,Industrials
3465,NSYS,10.36,9.30,14.20,5.45,1.41k,7.36k,5.47%,2.13%,-5.09%,-11.20%,25.91%,60.96%,-,10.1,3.56,0.18,Technology
3466,NASM,,,,,,,,,,,,,,,,,
3467,FFFD,,,,,,,,,,,,,,,,,
3468,NMMC,9.82,9.81,11.35,9.68,43.46k,89.79k,79.75%,,,,,,,,,,Financial Services
3469,NOVBD,,,,,,,,,,,,,,,,,
3470,NVACU,10.02,10.02,10.05,10.01,271.33k,271.33k,,,,,,,,,,,Financial Services
3471,NBN,34.31,31.50,38.31,22.36,27k,24.79k,61.79%,4.03%,10.25%,6.85%,21.73%,61.31%,40.00,35.83,8.21,8.40,Financial Services
3472,NOGEX,,,,,,,,,,,,,,,,,
3473,NTIC,15.46,16.49,21.50,10.27,10.22k,7.75k,36.13%,0.22%,-7.80%,-9.67%,-20.06%,35.99%,24.00,14.11,1.65,2.05,Basic Materials
3474,NTRS,121.02,115.26,126.73,88.20,616.43k,704.18k,83.54%,1.89%,0.07%,8.82%,3.81%,30.58%,133.53,120.21,395.70,368.10,Financial Services
3475,NWFI,,,,,,,,,,,,,,,,,
3476,NWBOW,,,,,,,,,,,,,,,,,
3477,NLOK,25.25,25.18,28.92,19.41,3.41M,3.7M,100.03%,2.74%,3.87%,2.90%,-3.42%,26.21%,28.98,26.36,333.00,181.00,Technology
3478,NWFL,26.39,25.79,29.50,23.00,6.47k,8.42k,13.29%,0.89%,-2.72%,2.27%,0.38%,-0.99%,-,26.0,8.21,8.21,Financial Services
3479,NVMI,125.01,104.14,148.94,69.38,147.33k,163.55k,85.37%,9.40%,10.03%,42.97%,39.98%,108.98%,143.50,143.78,30.34,22.92,Technology
3480,NOVV,9.92,9.90,9.98,9.80,1.09k,22.83k,15.76%,,,,,,,,,,Financial Services
3481,NOVA,36.52,35.00,57.70,24.63,2.71M,2.2M,102.76%,-0.07%,-28.08%,-15.20%,-28.17%,-35.33%,56.82,27.88,,,Technology
3482,NOVN,5.5992,9.1721,25.9000,3.9100,264.52k,251.16k,10.31%,-3.71%,-18.31%,-47.93%,-58.75%,-40.65%,36.00,4.18,-6.48,-6.02,Healthcare
3483,NVAX,173.69,192.82,331.68,109.01,7.97M,5.93M,50.20%,-19.79%,-20.99%,-24.70%,-27.82%,27.42%,268.00,149.89,-322.43,-352.32,Healthcare
3484,NOVI,,,,,,,,,,,,,,,,,
3485,NVCR,98.54,148.34,232.76,77.80,605.24k,595.33k,75.89%,-7.89%,-16.07%,-32.56%,-64.68%,-53.63%,119.33,80.99,-13.12,-14.64,Healthcare
3486,NOVS,,,,,,,,,,,,,,,,,
3487,NTLS,,,,,,,,,,,,,,,,,
3488,NTLID,,,,,,,,,,,,,,,,,
3489,NUZE,3.5033,3.0986,11.0000,1.9000,478.61k,3.77M,5.55%,4.60%,28.53%,109.68%,44.44%,-53.33%,-,4.58,,,Consumer Defensive
3490,NCST,,,,,,,,,,,,,,,,,
3491,PATH,49.09,60.19,90.00,39.30,3.98M,4.62M,54.41%,-0.35%,-12.55%,-16.77%,-36.29%,-,63.39,44.37,-122.79,-100.03,Technology
3492,NTNX,33.91,34.03,44.50,25.15,1.92M,1.86M,78.89%,0.62%,-6.71%,-14.20%,-15.25%,1.70%,49.00,32.57,-419.85,-358.18,Technology
3493,NTRB,5.5131,5.8816,12.3200,3.1150,84.08k,1.45M,0.00%,5.01%,-45.81%,-62.82%,-87.72%,-76.27%,17.00,3.61,-0.52,-0.32,Healthcare
3494,NUVL,22.86,25.17,40.82,17.00,143.05k,80.21k,32.19%,-7.64%,-8.04%,-9.65%,-,-,38.50,19.68,,-9.84,Healthcare
3495,NVEI,94.37,89.57,140.23,43.10,711.2k,691.78k,37.99%,6.61%,-33.18%,-43.31%,-9.38%,42.98%,-,66.0,,,Technology
3496,NVVE,14.18,12.23,21.82,7.01,151.46k,186.39k,26.75%,-3.93%,-18.72%,17.00%,-6.37%,-22.47%,25.00,12.87,,,Consumer Cyclical
3497,NYFX,,,,,,,,,,,,,,,,,
3498,NYXH,21.86,26.60,37.00,19.05,3.11k,8.05k,25.69%,7.43%,4.85%,-31.97%,-,-,-,20.78,,,Healthcare
3499,OCAX,9.93,9.88,10.01,9.51,13.31k,29.09k,74.19%,,,,,,,,,,Financial Services
3500,OFSSG,25.19,25.32,25.97,24.75,1.1k,1.52k,,,,,,,,,,,
3501,OCCI,13.23,14.01,17.63,11.85,71.3k,56.98k,13.44%,5.68%,-3.62%,-2.83%,-10.51%,6.54%,14.00,12.99,7.78,12.53,Financial Services
3502,OLB,4.6653,5.0282,16.4000,2.5100,991.93k,4.69M,5.82%,-13.85%,-35.03%,-24.93%,-48.72%,-40.04%,12.00,2.73,-0.90,-0.67,Technology
3503,ON,59.23,45.68,70.27,32.32,6.7M,6.11M,98.85%,6.39%,9.38%,50.37%,80.07%,117.72%,64.26,68.92,309.70,184.10,Technology
3504,OPBK,12.45,10.89,14.00,7.40,25.21k,29.13k,51.81%,5.56%,-4.87%,28.31%,30.22%,71.69%,15.00,13.25,15.20,15.13,Financial Services
3505,OHAAU,9.99,9.99,10.09,9.80,3.03k,133.05k,5.93%,,,,,,,,,,Financial Services
3506,OSIS,93.38,96.24,102.24,87.97,95.91k,92.34k,98.14%,1.43%,2.95%,-2.02%,-8.33%,0.52%,123.17,93.05,19.05,25.89,Technology
3507,OAKT,,,,,,,,,,,,,,,,,
3508,OCSL,7.42,6.99,7.62,5.47,1.38M,842.9k,51.33%,2.18%,2.04%,6.37%,12.26%,36.30%,8.14,7.49,36.56,47.04,Financial Services
3509,OCSI,8.39,7.51,8.74,4.88,,58.67k,,,,,,,,,,,
3510,OMP,23.57,23.22,35.70,11.48,108.17k,200.47k,12.89%,7.84%,5.64%,5.16%,-0.90%,110.13%,23.00,23.56,37.62,35.15,Energy
3511,OBLG,1.4830,2.7887,6.2300,1.0000,123.98k,135.51k,52.56%,-15.97%,-20.63%,-51.22%,-70.59%,-81.45%,14.00,1.01,-0.66,-2.25,Technology
3512,RHEO,,,,,,,,,,,,,,,,,
3513,OBCI,9.76,11.11,15.21,7.85,12.53k,12.41k,9.68%,4.96%,-11.32%,-10.00%,-30.66%,-41.29%,-,9.4,3.27,2.60,Industrials
3514,OSHCD,,,,,,,,,,,,,,,,,
3515,OCFC,21.77,21.69,25.76,18.06,315.46k,241.92k,72.06%,2.06%,6.59%,4.25%,7.05%,20.46%,27.06,22.25,59.52,59.97,Financial Services
3516,OTEC,9.97,9.92,10.06,9.67,1.27k,21.94k,5.47%,-0.40%,-0.20%,0.51%,-,-,-,9.98,,,Financial Services
3517,CHUX,,,,,,,,,,,,,,,,,
3518,OFED,23.92,24.03,27.00,20.12,1.62k,829,2.39%,-1.84%,-2.38%,-2.58%,-0.30%,-3.26%,-,23.05,5.64,5.61,Financial Services
3519,OCUL,7.00,11.73,23.68,6.02,764.75k,1.17M,64.87%,-5.58%,1.23%,-34.91%,-53.46%,-67.13%,21.14,6.91,,,Healthcare
3520,ODT,2.2652,3.3017,28.4100,1.3400,328.12k,751.98k,80.63%,-12.90%,-20.12%,-54.85%,-61.32%,-92.19%,4.00,1.37,-14.00,-22.02,Healthcare
3521,OMEX,6.03,6.29,8.69,4.93,27.13k,18.51k,20.35%,-3.77%,-17.45%,-25.29%,-19.65%,-25.94%,-,5.32,-4.09,-2.23,Industrials
3522,OPINL,27.25,27.11,28.54,25.00,6.7k,14.5k,,,,,,,,,,,
3523,OCAS,,,,,,,,,,,,,,,,,
3524,OVBC,28.27,25.80,32.70,21.16,3.1k,5.63k,15.24%,-3.61%,1.02%,3.81%,21.70%,23.54%,-,28.66,4.78,4.79,Financial Services
3525,OLPX,26.84,26.42,30.13,22.84,2.34M,2.41M,,8.31%,0.82%,-,-,-,34.82,28.52,56.59,49.35,Consumer Cyclical
3526,OPOF,22.43,22.55,26.26,17.83,1.53k,1.61k,34.76%,-0.55%,-0.08%,9.88%,1.47%,48.05%,-,22.8,5.25,5.24,Financial Services
3527,OLMA,19.24,26.13,54.88,8.25,577.81k,815.63k,88.55%,-5.01%,-57.56%,-67.80%,-66.80%,-80.13%,46.25,9.72,-17.71,-16.41,Healthcare
3528,ZEUS,23.99,27.77,40.00,13.38,128.08k,86.01k,72.24%,1.58%,8.77%,-4.96%,-21.10%,76.35%,27.25,23.08,,,Basic Materials
3529,ONAV,,,,,,,,,,,,,,,,,
3530,OMER,7.28,13.38,23.85,5.45,807.96k,1.67M,49.33%,-8.54%,-4.53%,-49.63%,-54.51%,-53.16%,34.80,6.88,-22.70,-28.59,Healthcare
3531,OLITU,10.06,10.06,10.09,9.92,9.94k,291.51k,,,,,,,,,,,
3532,OMTH,,,,,,,,,,,,,,,,,
3533,ONCS,1.4632,2.8113,8.1600,0.8400,392.44k,275.34k,16.64%,-25.07%,-30.55%,-58.93%,-69.60%,-87.17%,10.33,0.91,,,Healthcare
3534,ONS,,,,,,,,,,,,,,,,,
3535,TOIIW,,,0.8950,0.8201,,,,,,,,,,,,,Healthcare
3536,ONCY,1.8226,2.4587,4.8300,1.3900,296.25k,261.94k,1.93%,-7.28%,-18.60%,-32.04%,-49.46%,-42.15%,-,1.39,,,Healthcare
3537,ONTX,3.1414,6.3886,28.9500,2.4500,367.9k,424.53k,19.44%,-10.75%,-18.36%,-35.66%,-64.07%,-61.25%,11.50,2.63,-3.45,-4.23,Healthcare
3538,ONCT,3.2514,4.6999,10.5600,2.2200,575.77k,525.97k,31.85%,-13.64%,-22.71%,-43.56%,-52.00%,-52.50%,15.50,2.4,-9.63,-7.68,Healthcare
